glass.shape,time
0,14.21351891
0,10.28930405
0,10.99145577
0,9.315257522
0,9.481089896
0,12.13330763
0,13.53952344
0,12.20401517
0,8.290334213
0,11.64334074
0,11.43012544
0,14.19087161
0,12.69379096
0,15.95031592
0,10.16095944
0,12.81308059
0,9.55213156
0,11.42170999
0,12.27247794
0,10.0295329
0,10.01146516
0,9.3048921
0,10.31078954
0,11.80099347
0,9.670944973
0,13.86608411
0,10.71375744
0,12.3801657
0,9.915557448
0,9.763332804
0,10.25042355
0,12.1181885
0,12.26639985
0,10.81710714
0,9.895397124
0,15.33868885
0,10.55237783
0,9.786279727
0,10.7677271
0,10.02601163
0,9.989509633
0,9.718948182
0,13.44991471
0,9.880966416
0,11.73889372
0,7.683853373
0,7.994795679
0,7.941951736
0,11.78553486
0,9.981931236
1,14.48619509
1,15.21436956
1,6.767943476
1,7.486729241
1,7.99552703
1,10.69623985
1,7.319322809
1,7.375745683
1,9.758188197
1,11.79420843
1,11.18805163
1,11.26429969
1,11.44131814
1,9.394908431
1,3.345282817
1,8.638599665
1,3.341958122
1,4.223247493
1,10.11138792
1,6.089742134
1,11.86776941
1,9.982923281
1,8.7682984
1,6.213365233
1,9.133114559
1,8.124623799
1,9.344428956
1,12.17630444
1,11.65111883
1,8.516744966
1,6.212529753
1,9.823377348
1,11.23049027
1,11.46847895
1,9.605529119
1,5.717108085
1,4.529873678
1,7.742728244
1,6.731207079
1,9.29150676
1,12.77622484
1,10.33747408
1,11.35893587
1,12.61139563
1,7.022364529
1,4.134350504
1,11.41107519
1,10.10467708
1,7.895783464
1,10.71401885
